University,Research-16,Research-17,,,,,,,,
"Ewha Womans UniversityKorea, Republic of",18.3,23.9,,,-5.6,-0.306010929,0.0936426886,,,0.306010929
Aston UniversityUnited Kingdom,20.4,23.9,,,-3.5,-0.1715686275,0.0294357939,,,0.1715686275
University of NavarraSpain,20.8,23.9,,,-3.1,-0.1490384615,0.022212463,,,0.1490384615
Pontifical Catholic University of Rio de Janeiro (PUC-Rio)Brazil,24.1,23.9,,,0.2,0.0082987552,6.88693376491471E-005,,,0.0082987552
Indian Institute of Technology DelhiIndia,25.8,23.9,25.8,23.9,1.9,0.0736434109,0.005423352,,,0.0736434109
BoÄŸaziÃ§i UniversityTurkey,19.2,23.8,,,-4.6,-0.2395833333,0.0574001736,,,0.2395833333
Georgia State UniversityUnited States,19.5,23.7,,,-4.2,-0.2153846154,0.0463905325,,,0.2153846154
Tokyo University of ScienceJapan,24.1,23.7,,,0.4,0.0165975104,0.0002754774,,,0.0165975104
Vrije Universiteit BrusselBelgium,24.5,23.7,,,0.8,0.0326530612,0.0010662224,,,0.0326530612
"Iran University of Science and TechnologyIran, Islamic Republic of",26,23.7,,,2.3,0.0884615385,0.0078254438,,,0.0884615385
University of Southern DenmarkDenmark,14.7,23.6,,,-8.9,-0.6054421769,0.3665602295,,,0.6054421769
National Central UniversityTaiwan,23.2,23.6,,,-0.4,-0.0172413793,0.0002972652,,,0.0172413793
Istanbul UniversityTurkey,23.3,23.6,,,-0.3,-0.0128755365,0.0001657794,,,0.0128755365
Murdoch UniversityAustralia,19.6,23.5,,,-3.9,-0.1989795918,0.039592878,,,0.1989795918
Curtin UniversityAustralia,20.2,23.5,,,-3.3,-0.1633663366,0.0266885599,,,0.1633663366
University of WaikatoNew Zealand,18.2,23.2,,,-5,-0.2747252747,0.0754739766,,,0.2747252747
Chung Yuan Christian UniversityTaiwan,22.1,23.2,,,-1.1,-0.0497737557,0.0024774268,,,0.0497737557
University of KaiserslauternGermany,22.6,23.2,,,-0.6,-0.0265486726,0.000704832,,,0.0265486726
Southern Cross UniversityAustralia,18.3,23.1,,,-4.8,-0.262295082,0.06879871,,,0.262295082
University of TartuEstonia,22.8,23.1,,,-0.3,-0.0131578947,0.0001731302,,,0.0131578947
Bar-Ilan UniversityIsrael,21.3,23,,,-1.7,-0.0798122066,0.0063699883,,,0.0798122066
Pontifical Catholic University of ChileChile,21.3,23,,,-1.7,-0.0798122066,0.0063699883,,,0.0798122066
Indian Institute of Technology KanpurIndia,15,22.9,15,22.9,-7.9,-0.5266666667,0.2773777778,,,0.5266666667
Tokyo University of Agriculture and TechnologyJapan,24.1,22.9,,,1.2,0.0497925311,0.0024792962,,,0.0497925311
State University of New York AlbanyUnited States,35.3,22.8,,,12.5,0.3541076487,0.1253922269,,,0.3541076487
Tomsk State UniversityRussian Federation,20.8,22.7,,,-1.9,-0.0913461538,0.0083441198,,,0.0913461538
University of TurkuFinland,21.2,22.7,,,-1.5,-0.070754717,0.00500623,,,0.070754717
University of Milan-BicoccaItaly,25.5,22.7,,,2.8,0.1098039216,0.0120569012,,,0.1098039216
Suez Canal UniversityEgypt,5.9,22.5,,,-16.6,-2.813559322,7.9161160586,,,2.813559322
University of VictoriaCanada,30,22.5,,,7.5,0.25,0.0625,,,0.25
University of Technology SydneyAustralia,35.4,22.5,,,12.9,0.3644067797,0.1327923011,,,0.3644067797
University of Science and Technology BeijingChina,22.4,22.4,,,0,0,0,,,0
University of KentUnited Kingdom,19.1,22.3,,,-3.2,-0.167539267,0.028069406,,,0.167539267
Indian Institute of Technology MadrasIndia,20.7,22.3,20.7,22.3,-1.6,-0.077294686,0.0059744685,,,0.077294686
James Cook UniversityAustralia,22.8,22.3,,,0.5,0.0219298246,0.0004809172,,,0.0219298246
Swedish University of Agricultural SciencesSweden,32.8,22.3,,,10.5,0.3201219512,0.1024780637,,,0.3201219512
University of MinhoPortugal,20.1,22.1,,,-2,-0.0995024876,0.009900745,,,0.0995024876
University of PaviaItaly,22.5,22.1,,,0.4,0.0177777778,0.0003160494,,,0.0177777778
University of MacauMacao,17,22,,,-5,-0.2941176471,0.0865051903,,,0.2941176471
Clemson UniversityUnited States,19.7,22,,,-2.3,-0.116751269,0.0136308588,,,0.116751269
Johannes Gutenberg University of MainzGermany,21.7,22,,,-0.3,-0.0138248848,0.0001911274,,,0.0138248848
Bangor UniversityUnited Kingdom,22.1,21.9,,,0.2,0.0090497738,8.18984050285644E-005,,,0.0090497738
China Agricultural UniversityChina,24.9,21.8,,,3.1,0.124497992,0.01549975,,,0.124497992
Nova University of LisbonPortugal,21.9,21.7,,,0.2,0.0091324201,8.34010967244213E-005,,,0.0091324201
Xiamen UniversityChina,15.6,21.6,,,-6,-0.3846153846,0.1479289941,,,0.3846153846
Temple UniversityUnited States,18.2,21.6,,,-3.4,-0.1868131868,0.0348991668,,,0.1868131868
National Chung Cheng UniversityTaiwan,20.3,21.6,,,-1.3,-0.0640394089,0.0041010459,,,0.0640394089
"University of Tennessee, KnoxvilleUnited States",23.2,21.5,,,1.7,0.0732758621,0.005369352,,,0.0732758621
Charles University in PragueCzech Republic,21.5,21.4,,,0.1,0.0046511628,2.16333153055712E-005,,,0.0046511628
American UniversityUnited States,16.5,21.3,,,-4.8,-0.2909090909,0.0846280992,,,0.2909090909
Aberystwyth UniversityUnited Kingdom,18.9,21.3,,,-2.4,-0.126984127,0.0161249685,,,0.126984127
University of StrasbourgFrance,23.4,21.3,,,2.1,0.0897435897,0.0080539119,,,0.0897435897
Sichuan UniversityChina,18.4,21.2,,,-2.8,-0.152173913,0.0231568998,,,0.152173913
Aix-Marseille UniversityFrance,22.1,21.2,,,0.9,0.0407239819,0.0016584427,,,0.0407239819
Taipei Medical UniversityTaiwan,21.7,21.1,,,0.6,0.0276497696,0.0007645098,,,0.0276497696
New Mexico State UniversityUnited States,19.2,21,,,-1.8,-0.09375,0.0087890625,,,0.09375
University of OttawaCanada,36.7,21,,,15.7,0.4277929155,0.1830067786,,,0.4277929155
University of Texas at El PasoUnited States,18.7,20.9,,,-2.2,-0.1176470588,0.0138408304,,,0.1176470588
Czech Technical University in PragueCzech Republic,9.3,20.8,,,-11.5,-1.2365591398,1.5290785062,,,1.2365591398
University of HullUnited Kingdom,16.1,20.8,,,-4.7,-0.2919254658,0.0852204776,,,0.2919254658
Keio UniversityJapan,17.5,20.7,,,-3.2,-0.1828571429,0.0334367347,,,0.1828571429
RMIT UniversityAustralia,17.7,20.7,,,-3,-0.1694915254,0.0287273772,,,0.1694915254
"St Georgeâ€™s, University of LondonUnited Kingdom",18.1,20.7,,,-2.6,-0.1436464088,0.0206342908,,,0.1436464088
Montana State UniversityUnited States,21.8,20.7,,,1.1,0.0504587156,0.002546082,,,0.0504587156
UniversitÃ© du QuÃ©bec Ã  MontrÃ©alCanada,24.5,20.7,,,3.8,0.1551020408,0.0240566431,,,0.1551020408
University of Rome IIIItaly,21,20.6,,,0.4,0.019047619,0.0003628118,,,0.019047619
Athens University of Economics and BusinessGreece,18.8,20.5,,,-1.7,-0.0904255319,0.0081767768,,,0.0904255319
University of Eastern FinlandFinland,20.7,20.5,,,0.2,0.0096618357,9.33510700366396E-005,,,0.0096618357
"Binghamton University, State University of New YorkUnited States",17.4,20.4,,,-3,-0.1724137931,0.0297265161,,,0.1724137931
Keele UniversityUnited Kingdom,17.6,20.4,,,-2.8,-0.1590909091,0.0253099174,,,0.1590909091
Plymouth UniversityUnited Kingdom,18,20.4,,,-2.4,-0.1333333333,0.0177777778,,,0.1333333333
University of TurinItaly,22.3,20.4,,,1.9,0.0852017937,0.0072593457,,,0.0852017937
University of PaduaItaly,22.6,20.4,,,2.2,0.0973451327,0.0094760749,,,0.0973451327
Wake Forest UniversityUnited States,19.5,20.3,,,-0.8,-0.041025641,0.0016831032,,,0.041025641
China University of Geosciences (Wuhan)China,21.4,20.3,,,1.1,0.0514018692,0.0026421522,,,0.0514018692
Louisiana State UniversityUnited States,27.7,20.2,,,7.5,0.2707581227,0.073309961,,,0.2707581227
Florida International UniversityUnited States,18.1,20.1,,,-2,-0.1104972376,0.0122096395,,,0.1104972376
Dalian University of TechnologyChina,19,20.1,,,-1.1,-0.0578947368,0.0033518006,,,0.0578947368
Waseda UniversityJapan,14.6,20,,,-5.4,-0.3698630137,0.1367986489,,,0.3698630137
"Isfahan University of TechnologyIran, Islamic Republic of",23,20,,,3,0.1304347826,0.0170132325,,,0.1304347826
Bilkent UniversityTurkey,18.6,19.9,,,-1.3,-0.0698924731,0.0048849578,,,0.0698924731
University of ParmaItaly,16.6,19.8,,,-3.2,-0.1927710843,0.037160691,,,0.1927710843
"Inha UniversityKorea, Republic of",20,19.8,,,0.2,0.01,0.0001,,,0.01
University of GreifswaldGermany,23.5,19.7,,,3.8,0.1617021277,0.0261475781,,,0.1617021277
Massey UniversityNew Zealand,17.1,19.6,,,-2.5,-0.1461988304,0.021374098,,,0.1461988304
University of BordeauxFrance,22,19.6,,,2.4,0.1090909091,0.0119008264,,,0.1090909091
Middle East Technical UniversityTurkey,17.3,19.5,,,-2.2,-0.1271676301,0.0161716061,,,0.1271676301
Tokyo Medical and Dental University (TMDU)Japan,18.3,19.5,,,-1.2,-0.0655737705,0.0042999194,,,0.0655737705
Renmin University of ChinaChina,13.7,19.4,,,-5.7,-0.4160583942,0.1731045874,,,0.4160583942
South China University of TechnologyChina,22.1,19.4,,,2.7,0.1221719457,0.0149259843,,,0.1221719457
Indian Institute of Technology KharagpurIndia,30.5,19.4,30.5,19.4,11.1,0.3639344262,0.1324482666,,,0.3639344262
University of MissouriUnited States,21,19.3,,,1.7,0.080952381,0.006553288,,,0.080952381
Boston CollegeUnited States,29.3,19.3,,,10,0.3412969283,0.1164835933,,,0.3412969283
Kobe UniversityJapan,15.4,19.2,,,-3.8,-0.2467532468,0.0608871648,,,0.2467532468
University of ArkansasUnited States,17.4,19.2,,,-1.8,-0.1034482759,0.0107015458,,,0.1034482759
Edith Cowan UniversityAustralia,16.1,19.1,,,-3,-0.1863354037,0.0347208827,,,0.1863354037
University of CreteGreece,19.2,19.1,,,0.1,0.0052083333,2.712673611111E-005,,,0.0052083333
University of LimerickIreland,16.3,19,,,-2.7,-0.1656441718,0.0274379916,,,0.1656441718
Polytechnic University of TurinItaly,18.6,19,,,-0.4,-0.0215053763,0.0004624812,,,0.0215053763
Charles Darwin UniversityAustralia,22.6,19,,,3.6,0.1592920354,0.0253739525,,,0.1592920354
"Amirkabir University of TechnologyIran, Islamic Republic of",25.7,18.9,,,6.8,0.2645914397,0.07000863,,,0.2645914397
"University of UlsanKorea, Republic of",20.5,18.8,,,1.7,0.0829268293,0.006876859,,,0.0829268293
SÃ£o Paulo State University (UNESP)Brazil,22.6,18.8,,,3.8,0.1681415929,0.0282715953,,,0.1681415929
East China Normal UniversityChina,14.7,18.7,,,-4,-0.2721088435,0.0740432227,,,0.2721088435
University of InnsbruckAustria,16.9,18.7,,,-1.8,-0.1065088757,0.0113441406,,,0.1065088757
"University of Maryland, Baltimore CountyUnited States",18.2,18.7,,,-0.5,-0.0274725275,0.0007547398,,,0.0274725275
National Taiwan Ocean UniversityTaiwan,21,18.7,,,2.3,0.1095238095,0.0119954649,,,0.1095238095
Universiti Kebangsaan MalaysiaMalaysia,15.9,18.6,,,-2.7,-0.1698113208,0.0288358847,,,0.1698113208
Royal College of Surgeons in IrelandIreland,20.1,18.6,,,1.5,0.0746268657,0.0055691691,,,0.0746268657
Lehigh UniversityUnited States,15,18.5,,,-3.5,-0.2333333333,0.0544444444,,,0.2333333333
Miami UniversityUnited States,15.7,18.5,,,-2.8,-0.178343949,0.0318065642,,,0.178343949
University of PisaItaly,18.9,18.5,,,0.4,0.0211640212,0.0004479158,,,0.0211640212
University of AntioquiaColombia,21.1,18.5,,,2.6,0.1232227488,0.0151838458,,,0.1232227488
Kaohsiung Medical UniversityTaiwan,22.2,18.5,,,3.7,0.1666666667,0.0277777778,,,0.1666666667
"Asia University, TaiwanTaiwan",15.9,18.4,,,-2.5,-0.1572327044,0.0247221233,,,0.1572327044
University of ValenciaSpain,16.9,18.4,,,-1.5,-0.0887573964,0.0078778754,,,0.0887573964
University of ChileChile,19.6,18.4,,,1.2,0.0612244898,0.0037484382,,,0.0612244898
Auburn UniversityUnited States,19.4,18.3,,,1.1,0.0567010309,0.0032150069,,,0.0567010309
Bauman Moscow State Technical UniversityRussian Federation,23.7,18.3,,,5.4,0.2278481013,0.0519147573,,,0.2278481013
Royal Veterinary CollegeUnited Kingdom,27.8,18.3,,,9.5,0.3417266187,0.1167770819,,,0.3417266187
Capital Medical UniversityChina,14.9,18.2,,,-3.3,-0.2214765101,0.0490518445,,,0.2214765101
Montpellier UniversityFrance,16.7,18.1,,,-1.4,-0.0838323353,0.0070278604,,,0.0838323353
Masaryk UniversityCzech Republic,22.9,18.1,,,4.8,0.2096069869,0.043935089,,,0.2096069869
"Kyungpook National UniversityKorea, Republic of",16,17.9,,,-1.9,-0.11875,0.0141015625,,,0.11875
Kansas State UniversityUnited States,17.5,17.9,,,-0.4,-0.0228571429,0.000522449,,,0.0228571429
University of TriesteItaly,18.5,17.9,,,0.6,0.0324324324,0.0010518627,,,0.0324324324
Tokushima UniversityJapan,21.6,17.9,,,3.7,0.1712962963,0.0293424211,,,0.1712962963
University of Wisconsin-MilwaukeeUnited States,13.8,17.8,,,-4,-0.2898550725,0.084015963,,,0.2898550725
New Jersey Institute of TechnologyUnited States,16.6,17.8,,,-1.2,-0.0722891566,0.0052257222,,,0.0722891566
University of NeuchÃ¢telSwitzerland,14.7,17.6,,,-2.9,-0.1972789116,0.0389189689,,,0.1972789116
Polytechnic University of CataloniaSpain,14.8,17.5,,,-2.7,-0.1824324324,0.0332815924,,,0.1824324324
Chongqing UniversityChina,15.5,17.5,,,-2,-0.1290322581,0.0166493236,,,0.1290322581
University of Texas at ArlingtonUnited States,10.1,17.4,,,-7.3,-0.7227722772,0.5223997647,,,0.7227722772
University of DelhiIndia,10.8,17.3,10.8,17.3,-6.5,-0.6018518519,0.3622256516,,,0.6018518519
Yokohama National UniversityJapan,16,17.2,,,-1.2,-0.075,0.005625,,,0.075
University of FerraraItaly,17.2,17.2,,,0,0,0,,,0
Toyohashi University of TechnologyJapan,18.9,17.2,,,1.7,0.0899470899,0.008090479,,,0.0899470899
Kent State UniversityUnited States,14.2,17.1,,,-2.9,-0.2042253521,0.0417079944,,,0.2042253521
University of MiamiUnited States,22.3,17.1,,,5.2,0.2331838565,0.0543747109,,,0.2331838565
University of Rennes 1France,10.3,17,,,-6.7,-0.6504854369,0.4231313036,,,0.6504854369
Hunan UniversityChina,15,17,,,-2,-0.1333333333,0.0177777778,,,0.1333333333
University of GrazAustria,16.3,17,,,-0.7,-0.0429447853,0.0018442546,,,0.0429447853
UiT The Arctic University of NorwayNorway,18.7,17,,,1.7,0.0909090909,0.0082644628,,,0.0909090909
University of Bari Aldo MoroItaly,21.6,17,,,4.6,0.212962963,0.0453532236,,,0.212962963
Claude Bernard University Lyon 1France,13.2,16.9,,,-3.7,-0.2803030303,0.0785697888,,,0.2803030303
Chulalongkorn UniversityThailand,14.1,16.8,,,-2.7,-0.1914893617,0.0366681756,,,0.1914893617
University of GranadaSpain,14.7,16.8,,,-2.1,-0.1428571429,0.0204081633,,,0.1428571429
Memorial University of NewfoundlandCanada,15.8,16.8,,,-1,-0.0632911392,0.0040057683,,,0.0632911392
King Fahd University of Petroleum and MineralsSaudi Arabia,16.1,16.8,,,-0.7,-0.0434782609,0.0018903592,,,0.0434782609
William & MaryUnited States,17.5,16.8,,,0.7,0.04,0.0016,,,0.04
University of GenoaItaly,14.2,16.7,,,-2.5,-0.176056338,0.0309958342,,,0.176056338
Monterrey Institute of Technology and Higher EducationMexico,12.7,16.6,,,-3.9,-0.3070866142,0.0943021886,,,0.3070866142
Texas Tech UniversityUnited States,17.2,16.6,,,0.6,0.0348837209,0.001216874,,,0.0348837209
Indian Institute of Technology GuwahatiIndia,20.7,16.6,20.7,16.6,4.1,0.1980676329,0.0392307872,,,0.1980676329
University of WarsawPoland,15.8,16.5,,,-0.7,-0.0443037975,0.0019628265,,,0.0443037975
National and Kapodistrian University of AthensGreece,16.3,16.4,,,-0.1,-0.0061349693,3.76378486205712E-005,,,0.0061349693
Chiba UniversityJapan,16.8,16.3,,,0.5,0.0297619048,0.000885771,,,0.0297619048
Rochester Institute of TechnologyUnited States,13.4,16.2,,,-2.8,-0.2089552239,0.0436622856,,,0.2089552239
Tomsk Polytechnic UniversityRussian Federation,15.1,16.2,,,-1.1,-0.0728476821,0.0053067848,,,0.0728476821
University of Texas at San AntonioUnited States,16.6,16.2,,,0.4,0.0240963855,0.0005806358,,,0.0240963855
Drexel UniversityUnited States,14.6,16,,,-1.4,-0.095890411,0.0091949709,,,0.095890411
Kanazawa UniversityJapan,14.8,16,,,-1.2,-0.0810810811,0.0065741417,,,0.0810810811
United Arab Emirates UniversityUnited Arab Emirates,14.8,16,,,-1.2,-0.0810810811,0.0065741417,,,0.0810810811
Universiti Sains MalaysiaMalaysia,16.6,16,,,0.6,0.0361445783,0.0013064305,,,0.0361445783
Jilin UniversityChina,14.4,15.9,,,-1.5,-0.1041666667,0.0108506944,,,0.1041666667
Carlos III University of MadridSpain,17.4,15.9,,,1.5,0.0862068966,0.007431629,,,0.0862068966
Peter the Great St Petersburg Polytechnic UniversityRussian Federation,17.8,15.9,,,1.9,0.106741573,0.0113937634,,,0.106741573
Soochow UniversityChina,13.7,15.8,,,-2.1,-0.1532846715,0.0234961905,,,0.1532846715
The Open UniversityUnited Kingdom,13.8,15.8,,,-2,-0.1449275362,0.0210039908,,,0.1449275362
University of Rovira i VirgiliSpain,14.8,15.8,,,-1,-0.0675675676,0.0045653762,,,0.0675675676
Aristotle University of ThessalonikiGreece,15,15.8,,,-0.8,-0.0533333333,0.0028444444,,,0.0533333333
Indian Institute of Technology RoorkeeIndia,17.5,15.8,17.5,15.8,1.7,0.0971428571,0.0094367347,,,0.0971428571
National Yang-Ming UniversityTaiwan,18.5,15.8,,,2.7,0.1459459459,0.0213002191,,,0.1459459459
"Sejong UniversityKorea, Republic of",12.2,15.7,,,-3.5,-0.2868852459,0.0823031443,,,0.2868852459
Wayne State UniversityUnited States,14.2,15.7,,,-1.5,-0.1056338028,0.0111585003,,,0.1056338028
Universiti Teknologi MalaysiaMalaysia,14.6,15.7,,,-1.1,-0.0753424658,0.0056764871,,,0.0753424658
Tulane UniversityUnited States,19.3,15.7,,,3.6,0.1865284974,0.0347928803,,,0.1865284974
Federal University of Rio de JaneiroBrazil,19.7,15.7,,,4,0.2030456853,0.0412275503,,,0.2030456853
Feng Chia UniversityTaiwan,13.7,15.6,,,-1.9,-0.1386861314,0.019233843,,,0.1386861314
University of NantesFrance,12.2,15.5,,,-3.3,-0.2704918033,0.0731658156,,,0.2704918033
Johannes Kepler University of LinzAustria,13.8,15.5,,,-1.7,-0.1231884058,0.0151753833,,,0.1231884058
University of North Carolina at GreensboroUnited States,15.3,15.5,,,-0.2,-0.0130718954,0.0001708744,,,0.0130718954
University of MontanaUnited States,13.6,15.4,,,-1.8,-0.1323529412,0.017517301,,,0.1323529412
Graz University of TechnologyAustria,15.8,15.4,,,0.4,0.0253164557,0.0006409229,,,0.0253164557
National Chung Hsing UniversityTaiwan,16.8,15.4,,,1.4,0.0833333333,0.0069444444,,,0.0833333333
Jadavpur UniversityIndia,22.2,15.4,22.2,15.4,6.8,0.3063063063,0.0938235533,,,0.3063063063
University of TulsaUnited States,12.9,15.3,,,-2.4,-0.1860465116,0.0346133045,,,0.1860465116
Ulster UniversityUnited Kingdom,13.2,15.3,,,-2.1,-0.1590909091,0.0253099174,,,0.1590909091
Oregon Health and Science UniversityUnited States,15.7,15.3,,,0.4,0.025477707,0.0006491136,,,0.025477707
University of Rome II â€“ Tor VergataItaly,17.2,15.3,,,1.9,0.1104651163,0.0122025419,,,0.1104651163
LinkÃ¶ping UniversitySweden,18.9,15.3,,,3.6,0.1904761905,0.0362811791,,,0.1904761905
East China University of Science and TechnologyChina,17.1,15.2,,,1.9,0.1111111111,0.012345679,,,0.1111111111
Bournemouth UniversityUnited Kingdom,12.6,14.9,,,-2.3,-0.1825396825,0.0333207357,,,0.1825396825
University of the AndesColombia,13.8,14.9,,,-1.1,-0.0797101449,0.0063537072,,,0.0797101449
University of Santiago de CompostelaSpain,14.1,14.9,,,-0.8,-0.0567375887,0.003219154,,,0.0567375887
"Chonbuk National UniversityKorea, Republic of",14.7,14.9,,,-0.2,-0.0136054422,0.0001851081,,,0.0136054422
Tampere University of TechnologyFinland,17.2,14.9,,,2.3,0.1337209302,0.0178812872,,,0.1337209302
University of St GallenSwitzerland,11.2,14.8,,,-3.6,-0.3214285714,0.1033163265,,,0.3214285714
I-Shou UniversityTaiwan,11.5,14.8,,,-3.3,-0.2869565217,0.0823440454,,,0.2869565217
University of IoanninaGreece,17.7,14.8,,,2.9,0.1638418079,0.026844138,,,0.1638418079
"Shahid Beheshti UniversityIran, Islamic Republic of",19,14.8,,,4.2,0.2210526316,0.0488642659,,,0.2210526316
University of LjubljanaSlovenia,13.6,14.7,,,-1.1,-0.0808823529,0.006541955,,,0.0808823529
Jagiellonian UniversityPoland,14.4,14.7,,,-0.3,-0.0208333333,0.0004340278,,,0.0208333333
Shanghai UniversityChina,16.1,14.7,,,1.4,0.0869565217,0.0075614367,,,0.0869565217
University of Southern QueenslandAustralia,13.1,14.6,,,-1.5,-0.1145038168,0.0131111241,,,0.1145038168
Okayama UniversityJapan,14.9,14.6,,,0.3,0.0201342282,0.0004053871,,,0.0201342282
University of SalfordUnited Kingdom,12.1,14.4,,,-2.3,-0.1900826446,0.0361314118,,,0.1900826446
University of BradfordUnited Kingdom,15.9,14.4,,,1.5,0.0943396226,0.0088999644,,,0.0943396226
University of SalamancaSpain,16.9,14.4,,,2.5,0.1479289941,0.0218829873,,,0.1479289941
Kazan Federal UniversityRussian Federation,12.3,14.3,,,-2,-0.162601626,0.0264392888,,,0.162601626
Federal University of Minas GeraisBrazil,15.4,14.3,,,1.1,0.0714285714,0.0051020408,,,0.0714285714
University of the Basque CountrySpain,19.6,14.3,,,5.3,0.2704081633,0.0731205748,,,0.2704081633
Kingston UniversityUnited Kingdom,12.1,14.2,,,-2.1,-0.173553719,0.0301208934,,,0.173553719
Otto von Guericke University of MagdeburgGermany,14.4,14.2,,,0.2,0.0138888889,0.0001929012,,,0.0138888889
Ohio UniversityUnited States,14.9,14.2,,,0.7,0.0469798658,0.0022071078,,,0.0469798658
Federal University of LavrasBrazil,16.4,14.2,,,2.2,0.1341463415,0.0179952409,,,0.1341463415
"Tehran University of Medical SciencesIran, Islamic Republic of",20,14.2,,,5.8,0.29,0.0841,,,0.29
University of ToledoUnited States,13.4,14.1,,,-0.7,-0.052238806,0.0027288928,,,0.052238806
University of BresciaItaly,14.8,14.1,,,0.7,0.0472972973,0.0022370343,,,0.0472972973
Yuan Ze UniversityTaiwan,18.3,14.1,,,4.2,0.2295081967,0.0526740124,,,0.2295081967
University of WestminsterUnited Kingdom,11.7,14,,,-2.3,-0.1965811966,0.0386441668,,,0.1965811966
Hiroshima UniversityJapan,18.9,14,,,4.9,0.2592592593,0.0672153635,,,0.2592592593
University of FlorenceItaly,20.4,14,,,6.4,0.3137254902,0.0984236832,,,0.3137254902
University of SevilleSpain,14.9,13.9,,,1,0.067114094,0.0045043016,,,0.067114094
National University of Science and Technology (MISiS)Russian Federation,17.5,13.9,,,3.6,0.2057142857,0.0423183673,,,0.2057142857
University of JyvÃ¤skylÃ¤Finland,25.5,13.9,,,11.6,0.4549019608,0.2069357939,,,0.4549019608
University of SienaItaly,17.8,13.8,,,4,0.2247191011,0.0504986744,,,0.2247191011
National Chengchi UniversityTaiwan,12.5,13.7,,,-1.2,-0.096,0.009216,,,0.096
National Taipei University of TechnologyTaiwan,14.6,13.7,,,0.9,0.0616438356,0.0037999625,,,0.0616438356
Technical University of MadridSpain,14.6,13.7,,,0.9,0.0616438356,0.0037999625,,,0.0616438356
Hong Kong Baptist UniversityHong Kong,12.1,13.6,,,-1.5,-0.1239669421,0.0153678027,,,0.1239669421
Budapest University of Technology and EconomicsHungary,13.7,13.6,,,0.1,0.0072992701,5.32793435984865E-005,,,0.0072992701
Rush UniversityUnited States,17.4,13.6,,,3.8,0.2183908046,0.0476945435,,,0.2183908046
University of the West of EnglandUnited Kingdom,11.2,13.4,,,-2.2,-0.1964285714,0.0385841837,,,0.1964285714
Tokyo Metropolitan UniversityJapan,11.4,13.4,,,-2,-0.1754385965,0.0307787011,,,0.1754385965
"Chonnam National UniversityKorea, Republic of",11.7,13.4,,,-1.7,-0.1452991453,0.0211118416,,,0.1452991453
Xidian UniversityChina,12.1,13.4,,,-1.3,-0.1074380165,0.0115429274,,,0.1074380165
Verona UniversityItaly,13.1,13.4,,,-0.3,-0.0229007634,0.000524445,,,0.0229007634
Osaka City UniversityJapan,13.4,13.4,,,0,0,0,,,0
Florida Institute of TechnologyUnited States,13.5,13.4,,,0.1,0.0074074074,5.48696844993137E-005,,,0.0074074074
Mahidol UniversityThailand,15.1,13.4,,,1.7,0.1125827815,0.0126748827,,,0.1125827815
UniversitÃ© de SherbrookeCanada,9.5,13.3,,,-3.8,-0.4,0.16,,,0.4
Liverpool John Moores UniversityUnited Kingdom,11.6,13.3,,,-1.7,-0.1465517241,0.0214774078,,,0.1465517241
